Title,Author,Book Type,Original Price,Discounted Price,ISBN-10,Published Date,Publisher,Number of Pages
The Screwtape Letters: Letters From A Senior To A Junior Devil,C. S. Lewis,Paperback,$19.99,$18.25,0007461240,2012-07-01,HarperCollins Publishers,224
Blood Meridian,Cormac McCarthy,eBook,,,0307762521,2010-08-11,Knopf Doubleday Publishing Group,224
Star Trek,Diane Duane,eBook,$5.99,,0743422279,2001-12-03,Pocket Books/Star Trek,256
Familiar Stranger,Stuart Hall,eBook,$15.99,,0241290007,2017-04-06,Penguin Books Ltd,256
Book Not Found,,,,,,,,
Across the Seas,Griff Hosker,eBook,$9.19,,0463983092,2019-03-04,Griff Hosker,256
American Royals,Katharine McGee,eBook,$9.99,,0241365988,2019-09-01,Penguin Random House Children's UK,368
Battle of Okinawa,George Feifer,eBook,,,1322117179,2001-01-01,Lyons Press,531
Homage to Catalonia,George Orwell,eBook,$15.99,,0141911719,2021-02-24,Penguin Books Ltd,272
The Twits,Roald Dahl,eBook,$9.99,,0141930160,2024-02-08,Penguin Random House Children's UK,112
"Red, White & Royal Blue",Casey McQuiston,eBook,,,1250316782,2019-05-14,St. Martin's Publishing Group,112
The Great Hunt,Robert Jordan,eBook,$11.99,,0748115358,2009-11-17,"Little, Brown Book Group",736
Magnus Chase and the Sword of Summer (Book 1),Rick Riordan,eBook,$9.99,,0141342439,2015-10-06,Penguin Random House Children's UK,528
Boy,Roald Dahl,eBook,$9.99,,0141903120,2008-09-04,Penguin Random House Children's UK,192
Angels,Marian Keyes,eBook,$15.99,,0141928689,2005-03-31,Penguin Books Ltd,496
The Lost (Paula Maguire 1),Claire McGowan,eBook,$11.99,,0755386396,2013-04-11,Headline,305
Book Not Found,,,,,,,,
Anxiety,Joshua Fletcher,eBook,$9.38,,1310517223,2016-03-22,Joshua Fletcher,305
George Washington's Secret Six,Brian Kilmeade,eBook,$22.29,$17.99,0698137655,2013-11-05,Penguin Publishing Group,288
Driving Over Lemons,Chris Stewart,eBook,,,0956308643,2011-08-08,Sort Of Books,304
Jamie's Food Tube,Gennaro Contaldo,eBook,$14.99,,1405921102,2015-07-02,Penguin Books Ltd,128
The Name of the Wind,Patrick Rothfuss,eBook,$12.99,,0575087056,2010-04-22,Orion,672
Darkfever,Karen Marie Moning,eBook,$14.66,$11.99,044033635X,2006-10-31,Random House Publishing Group,672
Kiss,Jill Mansell,Paperback,$26.99,$26.25,0755332555,2007-05-10,Headline,512
Business Model Generation,Alexander Osterwalder,PDF,$45.09,,0470901039,2013-02-01,Wiley Professional Development (P&T),288
The Wrath and the Dawn,Renée| Ahdieh,eBook,,,0698185897,2015-05-12,Wiley Professional Development (P&T),416
The Night Stalker,Chris Carter,eBook,$12.99,,0857202995,2011-08-18,Simon & Schuster UK,464
The Jury Master,Robert Dugoni,eBook,$17.99,,0446539651,2008-07-15,Grand Central Publishing,300
"The Dragon's Mountain, Book One",Mark Mulle,eBook,,,1310869685,2015-05-19,Mark Mulle,300
The Book of Why,Judea Pearl,eBook,$16.99,,0241242649,2018-05-15,Penguin Books Ltd,400
Blow Fly,Patricia Cornwell,eBook,$11.99,,0748109269,2008-09-04,"Little, Brown Book Group",544
The Sapphire Widow,Dinah Jefferies,eBook,$15.99,,0241980755,2018-04-05,Penguin Books Ltd,400
Aftermath,Peter Robinson,eBook,,,0330469363,2008-09-04,Penguin Books Ltd,400
Couples That Work,Jennifer Petriglieri,eBook,$18.99,,0241379016,2019-10-10,Penguin Books Ltd,304
Time of Contempt,Andrzej Sapkowski,eBook,$12.99,,0575088435,2023-08-01,Orion,320
Typhoon Fury,Clive Cussler,eBook,$15.99,,1405927690,2017-11-16,Penguin Books Ltd,480
The Eagle's Conquest (Eagles of the Empire 2),Simon Scarrow,eBook,$12.99,,0755350847,2008-09-04,Headline,448
The Divine Comedy,Dante Alighieri,eBook,$25.70,$20.99,1101117990,2018-06-26,Penguin Publishing Group,928
A Maiden's Grave,Jeffery Deaver,eBook,$14.66,$11.99,1101209356,2000-01-01,Penguin Publishing Group,928
No One Left To Tell (The Baltimore Series Book 2),Karen Rose,eBook,$11.99,,0755373979,2012-01-05,Headline,451
The Snow Child,Eowyn Ivey,eBook,$12.99,,075538055X,2012-02-01,Headline,318
The Hunger Games (USA Edition),Suzanne Collins,Hardcover,$40.95,,0439023483,2008-10-01,Scholastic US,384
Made Things,Adrian Tchaikovsky,eBook,$6.22,$5.99,1250232988,2019-11-05,Tor Publishing Group,384
Percy Jackson and the Sea of Monsters (Book 2),Rick Riordan,eBook,$12.99,,0141926902,2008-05-01,Penguin Random House Children's UK,288
Conversations with Friends,Sally Rooney,eBook,$16.49,$14.99,0571333141,2017-05-25,Faber & Faber,272
Strata,Terry Pratchett,eBook,$14.99,,1407035533,2009-11-24,Transworld,288
Misbehaving,Richard H. Thaler,eBook,$16.99,,0141966157,2015-05-07,Penguin Books Ltd,256
Book Not Found,,,,,,,,
Surrender Experiment,Michael A Singer,eBook,,,0804141118,2015-01-01,Potter/Tenspeed/Harmony,256
My East End,Gilda O'Neill,eBook,$15.99,,0141929383,2000-09-28,Penguin Books Ltd,384
Dork Diaries,Rachel Renee Russell,Paperback,,,1471144011,2015-06-02,Simon & Schuster UK,304
The Promise,Lesley Pearse,eBook,$15.99,,0141964081,2012-01-19,Penguin Books Ltd,528
Artemis Fowl and The Arctic Incident,Eoin Colfer,eBook,$9.99,,014192957X,2002-06-06,Penguin Random House Children's UK,336
23 Things They Don't Tell You About Capitalism,Ha-Joon Chang,eBook,$15.99,,0141957867,2010-09-02,Penguin Books Ltd,304
Excalibur,Bernard Cornwell,eBook,$15.99,,014192974X,2007-11-01,Penguin Books Ltd,496
Myers+Chang at Home,Joanne Chang,eBook,$46.19,$36.99,0544836731,2024-03-19,HarperCollins,320
Click,Kayla Miller,eBook,,,1328527905,2019-01-08,HMH Books,320
Mastering Color Knitting,Melissa Leapman,eBook,$15.42,$12.99,030796549X,2011-07-13,Clarkson Potter/Ten Speed,320
Son,Lois Lowry,eBook,,,0547928513,2012-10-02,Clarkson Potter/Ten Speed,400
How I Became The Fittest Woman On Earth,Tia-Clair Toomey,eBook,$17.59,$16.99,0646987283,2018-01-22,BL SOUTHWICK PUBLISHING PTY LTD,202
Dubliners,James Joyce,eBook,$8.55,$7.99,1101042184,2023-10-27,Penguin Publishing Group,272
Stitch 'N Bitch Crochet,Debbie Stoller,eBook,$23.99,,0761174982,2006-02-13,Workman Publishing Company,250
Walk Into Silence,Susan McBride,eBook,,,1365501213,2016-11-01,Workman Publishing Company,250
Lord of Chaos,Robert Jordan,eBook,$12.99,,0748115390,2010-03-16,"Little, Brown Book Group",1056
A Wartime Christmas,Carol Rivers,eBook,$8.99,,0857208349,2013-08-01,Simon & Schuster UK,464
